Airbnb_ListingID,City,Neighbourhood,Lat,Lng,RoomType_Clean,RoomAndPropertyType,PersonCapacity,Bathrooms,Bedrooms,Beds,BasicNightPrice,StarRating,LocationRating,CleanlinessRating,ValueRating,AccuracyRating,CheckinRating,CommunicationRating,ReviewCount,AvailableMoreThan30Days,PriceCategory,RatingBand,PropertySize,AvailabilityStatus
52966142,Pune,Gahunje,18.66266,73.70428,Entire Home,Entire apartment,4,1,1,1,4092,5,5,4.33,4.33,4.67,5,5,3,1,Premium,4.75-5.0,Medium,Available >30 Days
9.79718E+17,Pune,Anupam Park,18.52089,73.7745,Entire Home,Entire rental unit,4,2,2,2,3180,4.89,4.75,4.83,4.83,4.86,4.87,4.9,134,1,Mid-Range,4.75-5.0,Medium,Available >30 Days
9.88945E+17,Pune,Pallod Farms,18.5573,73.7927,Private Room,Private room in home,2,1,1,1,1869,4.74,4.63,4.55,4.61,4.82,4.82,4.87,38,1,Budget,4.5-4.75,Small,Available >30 Days
9.99829E+17,Pune,Unknown,18.59962,73.74224,Entire Home,Entire rental unit,4,2,2,2,4326,4.82,4.8,4.77,,,,,0,1,Premium,4.75-5.0,Medium,Available >30 Days
1.01138E+18,Pune,Unknown,18.53935,73.89843,Entire Home,Entire rental unit,2,1,1,1,2110,4.9,4.89,4.87,4.66,4.77,4.89,4.95,128,1,Mid-Range,4.75-5.0,Small,Available >30 Days
1.28476E+18,Pune,Unknown,18.50202285,73.79150655,Entire Home,Entire rental unit,8,4,4,4,16944,4.86,4.86,4.71,4.71,5,4.86,5,7,1,Luxury,4.75-5.0,Large,Available >30 Days
1.29241E+18,Pune,Unknown,18.569,73.9144,Shared Room,Shared room in guest house,1,1,1,1,1110,5,5,5,5,5,5,5,1,1,Budget,4.75-5.0,Small,Available >30 Days
1.45913E+18,Pune,Unknown,18.55958079,73.91932053,Entire Home,Entire rental unit,4,1,1,1,2444,4.85,4.95,4.65,4.8,4.9,4.85,4.95,20,1,Mid-Range,4.75-5.0,Medium,Available >30 Days
1.46004E+18,Pune,Unknown,18.50883,73.93153,Entire Home,Entire rental unit,2,1,1,1,2352,4.14,5,4.71,4.57,4.71,4.43,4.86,7,1,Mid-Range,4.0-4.5,Small,Available >30 Days
1.46006E+18,Pune,Unknown,18.46661001,73.85703559,Hotel,Room in boutique hotel,2,1,1,1,1503,1,1,1,1,1,2,1,1,1,Budget,Below 3,Small,Available >30 Days
1.46227E+18,Pune,Gahunje,18.66105,73.70902,Entire Home,Entire apartment,4,1,1,1,4168,4.97,4.93,5,4.9,4.97,4.93,4.97,30,1,Premium,4.75-5.0,Medium,Available >30 Days
1.46365E+18,Pune,Unknown,18.5011,73.7943,Entire Home,Entire home,3,1,1,1,4676,5,5,5,5,5,5,5,1,1,Premium,4.75-5.0,Medium,Available >30 Days
1.53915E+18,Dattwadi,Tathawade,18.6258,73.7461,Private Room,Private room in bed and breakfast,2,1,1,1,1395,4.82,4.8,4.77,,,,,0,1,Budget,4.75-5.0,Small,Available >30 Days
1.5425E+18,Pune,Unknown,18.58956206,73.90877559,Entire Home,Entire rental unit,12,3,3,3,5262,5,5,5,5,5,5,5,1,1,Premium,4.75-5.0,Large,Available >30 Days
1.54553E+18,Pune,Unknown,18.5404757,73.92159128,Entire Home,Entire rental unit,2,1,1,1,2336,5,4.92,5,4.92,4.92,5,5,13,1,Mid-Range,4.75-5.0,Small,Available >30 Days
1.54769E+18,Pune,Unknown,18.55431032,73.80161933,Entire Home,Entire rental unit,5,2,2,2,3408,4.2,4.4,4,4.2,4.2,4.8,4.8,5,1,Mid-Range,4.0-4.5,Medium,Available >30 Days
1.62109E+18,Pune,Unknown,18.5847,73.7638,Private Room,Private room in rental unit,2,1,1,1,2303,4.86,4.57,5,4.86,5,4.86,5,7,1,Mid-Range,4.75-5.0,Small,Available >30 Days
1.62375E+18,Pune,Unknown,18.57478,73.91505,Entire Home,Entire rental unit,3,1,1,1,2666,5,4.83,5,4.83,5,5,5,6,1,Mid-Range,4.75-5.0,Medium,Available >30 Days
1.62569E+18,Pimpri-Chinchwad,Unknown,18.60933098,73.82244448,Hotel,Room in boutique hotel,2,1,1,1,1865,4.82,4.8,4.77,,,,,0,1,Budget,4.75-5.0,Small,Available >30 Days
1.6258E+18,Pune,Unknown,18.5764,73.91373,Entire Home,Entire rental unit,4,1,1,1,3485,5,5,5,5,5,5,5,3,1,Mid-Range,4.75-5.0,Medium,Available >30 Days
42372912,Pimpri-Chinchwad,Unknown,18.57806,73.73759,Private Room,Private room in rental unit,2,1,1,1,1637,4.82,4.8,4.77,,,,,0,1,Budget,4.75-5.0,Small,Available >30 Days
46745245,Pune,Unknown,18.5633,73.77655,Hotel,Room in aparthotel,2,1,1,1,3367,4.82,4.8,4.77,,,,,0,1,Mid-Range,4.75-5.0,Small,Available >30 Days
46745376,Pune,Shivneri Park,18.56529,73.77781,Hotel,Room in aparthotel,2,1,1,1,3508,4.82,4.8,4.77,,,,,0,1,Mid-Range,4.75-5.0,Small,Available >30 Days
1.25425E+18,Pune,Unknown,18.51776472,73.94785107,Entire Home,Entire rental unit,2,1,1,1,2952,4.87,4.7,4.73,4.57,4.83,4.8,4.87,30,1,Mid-Range,4.75-5.0,Small,Available >30 Days
1.26008E+18,Pune,Unknown,18.55588917,73.94759962,Entire Home,Entire rental unit,5,2,2,2,4268,4.56,4.8,4.48,4.52,4.48,4.72,4.96,25,1,Premium,4.5-4.75,Medium,Available >30 Days
1.26446E+18,Pune,Unknown,18.4606,73.7886,Entire Home,Entire apartment,4,2,2,2,4930,5,4.79,4.79,4.79,4.79,4.93,4.93,14,1,Premium,4.75-5.0,Medium,Available >30 Days
